"設置位置ID","オーダーID","セクタ管理番号","ベンダー","ANT_NO","Transmitter_Name","RAN種別","BBT_CODE_加入DFGC","作業番号","帯域","BAND","BBU_sys","GPSフラグ"
"SG-04010","R001723286","GPS","","1","ＧＰＳ高知瀬戸南町","XGM","53-006","","","GPS","BC02","1"
"SG-04012","R001723288","GPS","","1","ＧＰＳ安芸(仮）","","53-013","","","GPS","BC01","1"
"SG-04013","R001723289","GPS","","1","ＧＰＳ安芸矢ノ丸(仮）","","53-013","","","GPS","BC02","1"
"SG-04018","R001723295","GPS","","1","ＧＰＳ須崎市００２Ｗ","XGM","53-021","","","GPS","BC01","1"
"SG-04019","R001723296","GPS","","1","ＧＰＳ須崎吾井郷甲","XGM","53-021","","","GPS","BC02","1"
"SG-04020","R001723297","GPS","","1","ＧＰＳ土佐山田(仮）","","53-060","","","GPS","BC01","1"
"SG-04022","R001723316","GPS","","1","ＧＰＳ伊野(仮）","","53-077","","","GPS","BC01","1"
"SG-04023","R001723317","GPS","","1","ＧＰＳ天王南(仮）","","53-077","","","GPS","BC02","1"
"SG-04026","R001743037","GPS","","1","ＧＰＳ高知駅前","XGM","53-125","","","GPS","BC01","1"
"SG-04027","R001743038","GPS","","1","ＧＰＳ山田宮ノ口（仮）","","53-060","","","GPS","BC02","1"
"SG-04028","R001743039","GPS","","1","ＧＰＳ土佐市００２Ｗ","","53-018","","","GPS","BC02","1"
"SG-04028","R001935735","GPS","","1","ＧＰＳ土佐市００２Ｗ","XGM","53-018","","","GPS","BC01","1"
"SG-04030","R001743061","GPS","","1","ＧＰＳ高知高知市第７４（仮）","XGM","53-004","","","GPS","BC02","1"
"SG-04033","R001783566","GPS","","1","ＧＰＳ高知市０４８W","XGM","53-125","","","GPS","BC02","1"
"SG-04034","R001792255","GPS","","1","ＧＰＳ高知桟橋通北","XGM","53-002","","","GPS","BC01","1"
"SG-04039","R001936984","GPS","","1","ＧＰＳ南国大埇（仮）","SGM","53-015","","","GPS","FC-01","1"
"SG-04041","R002024632","GPS","","1","ＧＰＳ高知菜園場町（仮）","XGM","53-001","","","GPS","BC02","1"
"TG-00002","R001103382","GPS","","1","GPS下北沢駅前","","38-054","","","GPS","BC02","1"
"TG-00005","R001103374","GPS","","1","GPS千住桜木","","38-092","","","GPS","BC01","1"
"TG-00007","R001103376","GPS","","1","GPS足立千住関屋","","38-092","","","GPS","BC02","1"
"TG-00009","R001103377","GPS","","1","GPS板橋熊野","","38-084","","","GPS","BC02","1"
